cdf,prefill_time_execution_plus_preemption,replica
0.9500000000000001,3.9930384736871614,5
0.96,4.163767313200274,5
0.97,4.334496152713387,5
0.98,4.505224992226501,5
0.99,4.675953831739616,5
1.0,4.846682671252729,5
0.0,0.1623741100266436,6
0.01,0.1698638925833597,6
0.02,0.17735367514007586,6
0.03,0.18484345769679197,6
0.04,0.19233324025350812,6
0.05,0.19982302281022424,6
0.06,0.20731280536694036,6
0.07,0.21637184257021078,6
0.08,0.2285693890665897,6
0.09,0.24076693556296858,6
0.1,0.2529644820593475,6
0.11,0.26516202855572646,6
0.12,0.27735957505210534,6
0.13,0.2895571215484843,6
0.14,0.3069489769036774,6
0.15,0.32693798668827756,6
0.16,0.3469269964728777,6
0.17,0.366916006257478,6
0.18,0.38690501604207805,6
0.19,0.40689402582667833,6
0.2,0.4268830356112785,6
0.21,0.45213893085683426,6
0.22,0.4773948261023901,6
0.23,0.502650721347946,6
0.24,0.5279066165935017,6
0.25,0.5531625118390575,6
0.26,0.5784184070846133,6
0.27,0.6017926160753622,6
0.28,0.621403452556497,6
0.29,0.6410142890376317,6
0.3,0.6606251255187665,6
0.31,0.6802359619999013,6
0.32,0.699846798481036,6
0.33,0.719457634962171,6
0.34,0.7329165818641347,6
0.35000000000000003,0.7432995839765129,6
0.36,0.753682586088891,6
0.37,0.7640655882012692,6
0.38,0.7744485903136475,6
0.39,0.7848315924260257,6
0.4,0.7952145945384039,6
0.41000000000000003,0.8076476839723822,6
0.42,0.8200807734063604,6
0.43,0.8325138628403388,6
0.44,0.844946952274317,6
0.45,0.8573800417082953,6
0.46,0.8698131311422735,6
0.47000000000000003,0.8883517837807706,6
0.48,0.9191015628283052,6
0.49,0.9498513418758401,6
0.5,0.9806011209233749,6
0.51,1.0113508999709098,6
0.52,1.0421006790184446,6
0.53,1.0728504580659792,6
0.54,1.1569498036475463,6
0.55,1.2677239324961267,6
0.56,1.3784980613447084,6
0.5700000000000001,1.4892721901932904,6
0.58,1.6000463190418708,6
0.59,1.7108204478904527,6
0.6,1.8215945767390345,6
0.61,1.8687930680472131,6
0.62,1.9159915593553918,6
0.63,1.9631900506635698,6
0.64,2.0103885419717487,6
0.65,2.057587033279927,6
0.66,2.1047855245881055,6
0.67,2.146055308198129,6
0.68,2.175467676411841,6
0.6900000000000001,2.2048800446255528,6
0.7000000000000001,2.234292412839265,6
0.71,2.2637047810529767,6
0.72,2.293117149266689,6
0.73,2.322529517480401,6
0.74,2.3536366369607506,6
0.75,2.3855911320744188,6
0.76,2.417545627188087,6
0.77,2.449500122301755,6
0.78,2.481454617415423,6
0.79,2.5134091125290916,6
0.8,2.5453636076427593,6
0.81,2.6608013594549185,6
0.8200000000000001,2.7762391112670763,6
0.8300000000000001,2.891676863079235,6
0.84,3.0071146148913943,6
0.85,3.1225523667035535,6
0.86,3.2379901185157127,6
0.87,3.3361121535934557,6
0.88,3.3996027552023667,6
0.89,3.463093356811278,6
0.9,3.52658395842019,6
0.91,3.5900745600291017,6
0.92,3.653565161638013,6
0.93,3.717055763246925,6
0.9400000000000001,3.9813185177272628,6
0.9500000000000001,4.345967348643317,6
0.96,4.710616179559366,6
0.97,5.0752650104754204,6
0.98,5.4399138413914745,6
0.99,5.8045626723075285,6
1.0,6.169211503223583,6
0.0,0.1567429174688968,7
0.01,0.15876270422089664,7
0.02,0.16078249097289649,7
0.03,0.16280227772489636,7
0.04,0.1648220644768962,7
0.05,0.16684185122889605,7
0.06,0.1688616379808959,7
0.07,0.17243678625182923,7
0.08,0.1791226575606295,7
0.09,0.18580852886942978,7
0.1,0.19249440017823005,7
0.11,0.19918027148703032,7
0.12,0.2058661427958306,7
0.13,0.21255201410463087,7
0.14,0.2210191048784683,7
0.15,0.2303768053848243,7
0.16,0.2397345058911803,7
0.17,0.24909220639753632,7
0.18,0.2584499069038923,7
0.19,0.26780760741024834,7
0.2,0.2771653079166043,7
0.21,0.2795290247794746,7
0.22,0.2818927416423449,7
0.23,0.2842564585052152,7
0.24,0.2866201753680855,7
0.25,0.2889838922309558,7
0.26,0.29134760909382607,7
0.27,0.299871877526886,7
0.28,0.3207172491003249,7
0.29,0.34156262067376375,7
0.3,0.36240799224720277,7
0.31,0.3832533638206418,7
0.32,0.40409873539408064,7
0.33,0.42494410696751966,7
0.34,0.5045287749803008,7
0.35000000000000003,0.613483091212752,7
0.36,0.7224374074452034,7
0.37,0.8313917236776551,7
0.38,0.9403460399101071,7
0.39,1.049300356142559,7
0.4,1.1582546723750102,7
0.41000000000000003,1.2072610647310338,7
0.42,1.2562674570870578,7
0.43,1.3052738494430816,7
0.44,1.3542802417991053,7
0.45,1.403286634155129,7
0.46,1.452293026511153,7
0.47000000000000003,1.4900260115834727,7
0.48,1.5052121820883846,7
0.49,1.5203983525932967,7
0.5,1.5355845230982088,7
0.51,1.550770693603121,7
0.52,1.565956864108033,7
0.53,1.581143034612945,7
0.54,1.6333690106956507,7
0.55,1.7041148895672518,7
0.56,1.7748607684388538,7
0.5700000000000001,1.8456066473104555,7
0.58,1.9163525261820566,7
0.59,1.9870984050536584,7
0.6,2.0578442839252604,7
0.61,2.291129479194935,7
0.62,2.5244146744646097,7
0.63,2.757699869734281,7
0.64,2.990985065003956,7
0.65,3.22427026027363,7
0.66,3.4575554555433046,7
0.67,3.633287098029873,7
0.68,3.6939116349502297,7
0.6900000000000001,3.7545361718705856,7
0.7000000000000001,3.8151607087909425,7
0.71,3.8757852457112985,7
0.72,3.9364097826316553,7
0.73,3.997034319552012,7
0.74,4.0559869243162945,7
0.75,4.11410356300254,7
0.76,4.172220201688785,7
0.77,4.23033684037503,7
0.78,4.288453479061276,7
0.79,4.346570117747521,7
0.8,4.404686756433765,7
0.81,4.994495350194825,7
0.8200000000000001,5.584303943955876,7
0.8300000000000001,6.174112537716936,7
0.84,6.763921131477995,7
0.85,7.353729725239054,7
0.86,7.943538319000114,7
0.87,9.080915609653067,7
0.88,11.313430294089763,7
0.89,13.545944978526485,7
0.9,15.778459662963206,7
0.91,18.010974347399927,7
0.92,20.24348903183665,7
0.93,22.47600371627337,7
0.9400000000000001,23.491690836122594,7
0.9500000000000001,23.898964173678095,7
0.96,24.306237511233594,7
0.97,24.7135108487891,7
0.98,25.1207841863446,7
0.99,25.528057523900102,7
1.0,25.935330861455604,7
