cdf,batch_num_prefill_tokens,replica
0.21,0.0,3
0.22,0.0,3
0.23,0.0,3
0.24,0.0,3
0.25,0.0,3
0.26,0.0,3
0.27,0.0,3
0.28,0.0,3
0.29,0.0,3
0.3,0.0,3
0.31,0.0,3
0.32,0.0,3
0.33,0.0,3
0.34,0.0,3
0.35000000000000003,0.0,3
0.36,0.0,3
0.37,0.0,3
0.38,0.0,3
0.39,0.0,3
0.4,0.0,3
0.41000000000000003,0.0,3
0.42,0.0,3
0.43,0.0,3
0.44,497.7794014558298,3
0.45,497.7794014558298,3
0.46,497.7794014558298,3
0.47000000000000003,497.7794014558298,3
0.48,497.7794014558298,3
0.49,497.7794014558298,3
0.5,497.7794014558298,3
0.51,497.7794014558298,3
0.52,497.7794014558298,3
0.53,497.7794014558298,3
0.54,497.7794014558298,3
0.55,497.7794014558298,3
0.56,497.7794014558298,3
0.5700000000000001,497.7794014558298,3
0.58,497.7794014558298,3
0.59,507.8355509801901,3
0.6,507.8355509801901,3
0.61,507.8355509801901,3
0.62,507.8355509801901,3
0.63,507.8355509801901,3
0.64,507.8355509801901,3
0.65,507.8355509801901,3
0.66,507.8355509801901,3
0.67,507.8355509801901,3
0.68,507.8355509801901,3
0.6900000000000001,507.8355509801901,3
0.7000000000000001,507.8355509801901,3
0.71,507.8355509801901,3
0.72,507.8355509801901,3
0.73,507.8355509801901,3
0.74,507.8355509801901,3
0.75,507.8355509801901,3
0.76,507.8355509801901,3
0.77,507.8355509801901,3
0.78,507.8355509801901,3
0.79,507.8355509801901,3
0.8,507.8355509801901,3
0.81,507.8355509801901,3
0.8200000000000001,507.8355509801901,3
0.8300000000000001,507.8355509801901,3
0.84,507.8355509801901,3
0.85,507.8355509801901,3
0.86,507.8355509801901,3
0.87,507.8355509801901,3
0.88,507.8355509801901,3
0.89,507.8355509801901,3
0.9,507.8355509801901,3
0.91,507.8355509801901,3
0.92,507.8355509801901,3
0.93,507.8355509801901,3
0.9400000000000001,507.8355509801901,3
0.9500000000000001,507.8355509801901,3
0.96,507.8355509801901,3
0.97,507.8355509801901,3
0.98,507.8355509801901,3
0.99,507.8355509801901,3
1.0,507.8355509801901,3
0.0,0.0,4
0.01,0.0,4
0.02,0.0,4
0.03,0.0,4
0.04,0.0,4
0.05,0.0,4
0.06,0.0,4
0.07,0.0,4
0.08,0.0,4
0.09,0.0,4
0.1,0.0,4
0.11,0.0,4
0.12,0.0,4
0.13,0.0,4
0.14,0.0,4
0.15,0.0,4
0.16,0.0,4
0.17,0.0,4
0.18,0.0,4
0.19,0.0,4
0.2,0.0,4
0.21,0.0,4
0.22,0.0,4
0.23,0.0,4
0.24,0.0,4
0.25,0.0,4
0.26,0.0,4
0.27,0.0,4
0.28,0.0,4
0.29,0.0,4
0.3,0.0,4
0.31,0.0,4
0.32,0.0,4
0.33,0.0,4
0.34,0.0,4
0.35000000000000003,0.0,4
0.36,0.0,4
0.37,0.0,4
0.38,0.0,4
0.39,0.0,4
0.4,0.0,4
0.41000000000000003,0.0,4
0.42,0.0,4
0.43,0.0,4
0.44,0.0,4
0.45,0.0,4
0.46,0.0,4
0.47000000000000003,0.0,4
0.48,0.0,4
0.49,0.0,4
0.5,0.0,4
0.51,0.0,4
