cdf,request_e2e_time,replica
0.66,25.010627534682367,6
0.67,25.032560885578675,6
0.68,25.036500142448237,6
0.6900000000000001,25.040439399317798,6
0.7000000000000001,25.044378656187355,6
0.71,25.048317913056916,6
0.72,25.052257169926477,6
0.73,25.05619642679604,6
0.74,25.172700826960313,6
0.75,25.34548779877194,6
0.76,25.518274770583574,6
0.77,25.691061742395203,6
0.78,25.863848714206835,6
0.79,26.036635686018464,6
0.8,26.209422657830093,6
0.81,26.3089972580823,6
0.8200000000000001,26.408571858334504,6
0.8300000000000001,26.50814645858671,6
0.84,26.60772105883892,6
0.85,26.707295659091127,6
0.86,26.806870259343334,6
0.87,26.94870356106504,6
0.88,27.175054265725745,6
0.89,27.40140497038645,6
0.9,27.62775567504716,6
0.91,27.854106379707865,6
0.92,28.08045708436857,6
0.93,28.30680778902928,6
0.9400000000000001,28.39547396346405,6
0.9500000000000001,28.415297872785857,6
0.96,28.435121782107665,6
0.97,28.454945691429472,6
0.98,28.474769600751276,6
0.99,28.494593510073084,6
1.0,28.514417419394892,6
0.0,10.588467283501004,7
0.01,10.625607656379131,7
0.02,10.662748029257259,7
0.03,10.699888402135384,7
0.04,10.737028775013512,7
0.05,10.774169147891639,7
0.06,10.811309520769766,7
0.07,11.001772442371786,7
0.08,11.498880461421592,7
0.09,11.9959884804714,7
0.1,12.493096499521208,7
0.11,12.990204518571014,7
0.12,13.48731253762082,7
0.13,13.984420556670628,7
0.14,16.37036942748131,7
0.15,19.700738724172428,7
0.16,23.031108020863545,7
0.17,26.361477317554673,7
0.18,29.69184661424578,7
0.19,33.02221591093691,7
0.2,36.352585207628024,7
0.21,36.90406732393153,7
0.22,37.45554944023503,7
0.23,38.00703155653854,7
0.24,38.55851367284205,7
0.25,39.10999578914555,7
0.26,39.66147790544906,7
0.27,40.199781154273005,7
0.28,40.71172666813782,7
0.29,41.22367218200264,7
0.3,41.73561769586746,7
0.31,42.24756320973228,7
0.32,42.759508723597094,7
0.33,43.27145423746192,7
0.34,44.11425275570801,7
0.35000000000000003,45.12247777614474,7
0.36,46.13070279658147,7
0.37,47.1389278170182,7
0.38,48.14715283745493,7
0.39,49.15537785789167,7
0.4,50.1636028783284,7
0.41000000000000003,51.832169075504844,7
0.42,53.500735272681304,7
0.43,55.169301469857764,7
0.44,56.83786766703422,7
0.45,58.50643386421068,7
0.46,60.17500006138713,7
0.47000000000000003,61.425874009473155,7
0.48,61.841363459378314,7
0.49,62.256852909283474,7
0.5,62.67234235918863,7
0.51,63.0878318090938,7
0.52,63.50332125899896,7
0.53,63.91881070890412,7
0.54,64.15217158136178,7
0.55,64.2944681650957,7
0.56,64.43676474882962,7
0.5700000000000001,64.57906133256353,7
0.58,64.72135791629744,7
0.59,64.86365450003136,7
