sep=;
IO Type;Instance Type;Storage Type;Redundancy;Utilization;AWS Instance Type;Rate Unit;2025 IMR;2024 IMR;2025 Public Price;2024 Public Price;2025 Discount Vs. Public price;2024 Discount Vs. Public price;IMR YoY%;Public Price YoY%;Discount Rate YoY%
;c6a.48xlarge;;;On Demand;;Hrs;0.630421443;0.619408762;7.344;7.344;91.4158300245;91.5657848312;1.7779343263;0;-0.1637672925
;c6in.large;;;On Demand;;Hrs;0.006117372;0.009011115;0.1134;0.1134;94.6054920635;92.0536904762;-32.1130403951;0;2.7720796136
;m2.4xlarge;;;On Demand;;Hrs;0.136910856;0.136910856;0.98;0.98;86.0295044898;86.0295044898;0;0;0
;hpc5i.18xlarge;;;On Demand;;Hrs;;0.53711236;;;;;;;
;m7g.2xlarge;;;On Demand;;Hrs;0.024450026;0.025827783;0.3264;0.3264;92.5091832108;92.0870762868;-5.3343990075;0;0.4583780276
;r5n.4xlarge;;;On Demand;;Hrs;0.087669807;0.10273014;1.192;1.192;92.6451504195;91.3816996644;-14.6600919652;0;1.3826080711
;c6a.8xlarge;;;On Demand;;Hrs;0.105070241;0.103234794;1.224;1.224;91.4158299837;91.5657848039;1.7779344821;0;-0.1637673073
;r6in.8xlarge;;;On Demand;;Hrs;0.202029155;0.230165136;2.78928;2.78928;92.7569424726;91.7482240578;-12.2242584124;0;1.0994418967
;r7iz.24xlarge;;;On Demand;;Hrs;0.612950681;0.683934934;;;;;-10.3788020572;;
;m7gd.16xlarge;;;On Demand;;Hrs;0.246222456;0.236466664;3.4171;3.4171;92.7944029733;93.0799021392;4.1256521469;0;-0.3067248239
;c3.xlarge;;;On Demand;;Hrs;0.018187028;0.018187028;0.21;0.21;91.3395104762;91.3395104762;0;0;0
;r6in.2xlarge;;;On Demand;;Hrs;0.050507289;0.057541284;0.69732;0.69732;92.7569424368;91.7482240578;-12.224257978;0;1.0994418577
;r6a.4xlarge;;;On Demand;;Hrs;0.080731538;0.079891771;0.9072;0.9072;91.1010209436;91.1935878527;1.0511307854;0;-0.1015059406
;m5d.8xlarge;;;On Demand;;Hrs;0.108126499;0.139496582;1.808;1.808;94.0195520465;92.2844810841;-22.4880656933;0;1.880132978
;x1.32xlarge;;;On Demand;;Hrs;1.726776762;1.726776762;13.338;13.338;87.0537054881;87.0537054881;0;0;0
;m6as.xlarge;;;On Demand;;Hrs;0.013957278;;;;;;;;
;m7i-flex.xlarge;;;On Demand;;Hrs;0.01256155;0.013043031;0.19152;0.19152;93.4411288638;93.18972901;-3.6914809142;0;0.2697720623
;g6.24xlarge;;;On Demand;;Hrs;1.098161171;1.163547684;6.6752;6.6752;83.5486401756;82.5690962967;-5.619581724;0;1.1863323239
;m5.large;;;On Demand;;Hrs;0.007118212;0.006973908;0.096;0.096;92.5851958333;92.7355125;2.0691985039;0;-0.1620918057
;m5dn.12xlarge;;;On Demand;;Hrs;0.2213188;0.236781678;3.264;3.264;93.2193995098;92.745659375;-6.5304368694;0;0.5107949396
;c6id.32xlarge;;;On Demand;;Hrs;0.410476787;0.624888856;6.4512;6.4512;93.6372025825;90.3136028026;-34.3120327625;0;3.6800655458
;m7gd.xlarge;;;On Demand;;Hrs;0.015388904;0.014779167;0.2136;0.2136;92.7954569288;93.0809143258;4.1256520073;0;-0.3066766147
;x2iedn.8xlarge;;;On Demand;;Hrs;0.961195858;0.603148696;6.669;6.669;85.5871066427;90.9559349828;59.3630002642;0;-5.9026696181
